Jugadores,Goles,Temporada
Deyverson,1,2020-2021
Ilaix Moriba,1,2020-2021
Koke,1,2020-2021
Javi Galán,1,2020-2021
Marcos Acuña,1,2020-2021
Yoshinori Muto,1,2020-2021
Enis Bardhi,1,2020-2021
Óscar de Marcos,1,2020-2021
Pedro León,1,2020-2021
Renan Lodi,1,2020-2021
Juan Miranda,1,2020-2021
Carlos Fernández,1,2020-2021
Manu Trigueros,1,2020-2021
José Gayà,1,2020-2021
Joan Jordán,1,2020-2021
Rodrygo,1,2020-2021
Emerson Royal,1,2020-2021
Mikel Rico,1,2020-2021
Lucas Olaza,1,2020-2021
Alfonso Pedraza,1,2020-2021
Jorge Pombo,1,2020-2021
Rubén Sobrino,1,2020-2021
Borja Sainz,1,2020-2021
Quini,1,2020-2021
Lucas Torreira,1,2020-2021
Diego González,1,2020-2021
Recio,1,2020-2021
Jota,1,2020-2021
Étienne Capoue,1,2020-2021
Mariano Díaz,1,2020-2021
Franco Vázquez,1,2020-2021
Toni Lato,1,2020-2021
Riqui Puig,1,2020-2021
Éder Militão,1,2020-2021
Facundo Ferreyra,1,2020-2021
Carlos Akapo,1,2020-2021
Álex Blanco,1,2020-2021
Jules Koundé,2,2020-2021
Kike Barja,2,2020-2021
Mikel Merino,2,2020-2021
Alberto Perea,2,2020-2021
Cucho Hernández,2,2020-2021
Dani Gómez,2,2020-2021
Pau Torres,2,2020-2021
Jon Morcillo,2,2020-2021
Martin Braithwaite,2,2020-2021
Ander Capa,2,2020-2021
Aitor Ruibal,2,2020-2021
Óscar Mingueza,2,2020-2021
Carles Aleñá,2,2020-2021
Oihan Sancet,2,2020-2021
Augusto Solari,2,2020-2021
Philippe Coutinho,2,2020-2021
Míchel Herrero,2,2020-2021
Saúl Ñíguez,2,2020-2021
Sergiño Dest,2,2020-2021
Ronald Araujo,2,2020-2021
Javi Ontiveros,2,2020-2021
Álvaro Giménez,2,2020-2021
Dimitrios Siovas,2,2020-2021
Jon Moncayola,2,2020-2021
Jeison Murillo,2,2020-2021
Raphaël Varane,2,2020-2021
Sergio León,2,2020-2021
Salvi Sánchez,2,2020-2021
Víctor Ruiz,2,2020-2021
William Carvalho,2,2020-2021
Marcos Mauro,2,2020-2021
Dani Calvo,2,2020-2021
Domingos Quina,2,2020-2021
Álvaro Odriozola,2,2020-2021
Sergio Ramos,2,2020-2021
Juanmi,2,2020-2021
Darko Brasanac,2,2020-2021
Toni Villa,2,2020-2021
Pere Pons,2,2020-2021
David Ferreiro,2,2020-2021
David Silva,2,2020-2021
Joaquín,2,2020-2021
Tete Morente,2,2020-2021
Lucas Vázquez,2,2020-2021
Diego Costa,2,2020-2021
Antonio Sanabria,3,2020-2021
Roberto López,3,2020-2021
Fer Niño,3,2020-2021
Unai López,3,2020-2021
Raúl Guti,3,2020-2021
Germán Sánchez,3,2020-2021
Yangel Herrera,3,2020-2021
Juan Cala,3,2020-2021
Aïssa Mandi,3,2020-2021
Federico Valverde,3,2020-2021
Yéremy Pino,3,2020-2021
Papu Gómez,3,2020-2021
Eden Hazard,3,2020-2021
Esteban Burgos,3,2020-2021
Willian José,3,2020-2021
Mauro Arambarri,3,2020-2021
Fran Beltrán,3,2020-2021
Ander Barrenetxea,3,2020-2021
Sergi Enrich,3,2020-2021
Francisco Trincão,3,2020-2021
Choco Lozano,3,2020-2021
Hugo Mallo,3,2020-2021
Marc Cucurella,3,2020-2021
Vinicius Junior,3,2020-2021
Pedri,3,2020-2021
Fernando,3,2020-2021
Suso,3,2020-2021
Frenkie de Jong,3,2020-2021
Antonio Puertas,3,2020-2021
Dani Parejo,3,2020-2021
Rubén García,3,2020-2021
Jordi Alba,3,2020-2021
Toni Kroos,3,2020-2021
Guido Carrillo,3,2020-2021
Pere Milla,4,2020-2021
Álex Fernández,4,2020-2021
Kévin Gameiro,4,2020-2021
Moi Gómez,4,2020-2021
Daniel Wass,4,2020-2021
Marcos André,4,2020-2021
Munir El Haddadi,4,2020-2021
Enes Ünal,4,2020-2021
Gabriel Paulista,4,2020-2021
Josan,4,2020-2021
Luis Rioja,4,2020-2021
Ivan Rakitic,4,2020-2021
Samuel Chukwueze,4,2020-2021
Kenedy,4,2020-2021
Bryan Gil,4,2020-2021
Luuk de Jong,4,2020-2021
Ansu Fati,4,2020-2021
Lucas Pérez,4,2020-2021
Adnan Januzaj,4,2020-2021
Darwin Machís,4,2020-2021
Jorge de Frutos,4,2020-2021
Asier Villalibre,4,2020-2021
Carlos Bacca,5,2020-2021
Jaime Mata,5,2020-2021
Manu Vallejo,5,2020-2021
Luis Suárez,5,2020-2021
Edgar Méndez,5,2020-2021
Ángel Rodríguez,5,2020-2021
Raúl García,5,2020-2021
Jonathan Calleri,5,2020-2021
Marco Asensio,5,2020-2021
Cristian Tello,5,2020-2021
Sandro Ramírez,5,2020-2021
Luka Modrić,5,2020-2021
Óscar Plano,5,2020-2021
Lucas Ocampos,5,2020-2021
Nabil Fekir,5,2020-2021
Gonçalo Guedes,5,2020-2021
Iker Muniain,5,2020-2021
Fabián Orellana,6,2020-2021
Shon Weissman,6,2020-2021
Ousmane Dembélé,6,2020-2021
Casemiro,6,2020-2021
Paco Alcácer,6,2020-2021
Yannick Carrasco,6,2020-2021
Iñaki Williams,6,2020-2021
Fidel,6,2020-2021
Gonzalo Melero,7,2020-2021
Roberto Torres,7,2020-2021
Maxi Gómez,7,2020-2021
João Félix,7,2020-2021
Nolito,7,2020-2021
Lucas Boyé,7,2020-2021
Portu,8,2020-2021
Álvaro Negredo,8,2020-2021
Álex Berenguer,8,2020-2021
Jorge Molina,8,2020-2021
Sergio Canales,8,2020-2021
Roberto Soldado,9,2020-2021
Brais Méndez,9,2020-2021
Ángel Correa,9,2020-2021
Ante Budimir,11,2020-2021
Joselu,11,2020-2021
Borja Iglesias,11,2020-2021
Mikel Oyarzabal,11,2020-2021
Carlos Soler,11,2020-2021
Kike García,12,2020-2021
Roger Martí,12,2020-2021
Marcos Llorente,12,2020-2021
Santi Mina,12,2020-2021
José Luis Morales,13,2020-2021
Rafa Mir,13,2020-2021
Antoine Griezmann,13,2020-2021
Iago Aspas,14,2020-2021
Alexander Isak,17,2020-2021
Youssef En-Nesyri,18,2020-2021
Luis Suárez,21,2020-2021
Gerard Moreno,23,2020-2021
Karim Benzema,23,2020-2021
Lionel Messi,30,2020-2021
Kike Hermoso,1,2021-2022
Sergio Agüero,1,2021-2022
Lucas Olaza,1,2021-2022
Clément Grenier,1,2021-2022
Róber Pier,1,2021-2022
Iddrisu Baba,1,2021-2022
Oier Sanjurjo,1,2021-2022
Marc Bartra,1,2021-2022
Germán Pezzella,1,2021-2022
Lei Wu,1,2021-2022
Víctor Díaz,1,2021-2022
Jaime Mata,1,2021-2022
Loren Morón,1,2021-2022
Domingos Duarte,1,2021-2022
Pedro Bigas,1,2021-2022
Franco Russo,1,2021-2022
Aïssa Mandi,1,2021-2022
Rafinha,1,2021-2022
Varazdat Haroyan,1,2021-2022
Riqui Puig,1,2021-2022
Myrto Uzuni,1,2021-2022
Ander Barrenetxea,1,2021-2022
Mariano Díaz,1,2021-2022
Fran Beltrán,1,2021-2022
Fran García,1,2021-2022
Lucas Torró,1,2021-2022
Stefan Mitrovic,1,2021-2022
Jorge Cuenca,1,2021-2022
Hugo Guillamón,1,2021-2022
Oier Zarraga,1,2021-2022
Enzo Roco,1,2021-2022
Jorge Miramón,1,2021-2022
Yunus Musah,1,2021-2022
Antonio Sánchez,1,2021-2022
Gerard Piqué,1,2021-2022
Pere Pons,1,2021-2022
Takefusa Kubo,1,2021-2022
Son,1,2021-2022
Javi Martínez,1,2021-2022
Juan Foyth,1,2021-2022
Fernando,1,2021-2022
Ángel Montoro,1,2021-2022
José María Giménez,1,2021-2022
Cote,1,2021-2022
Yangel Herrera,1,2021-2022
Hugo Mallo,1,2021-2022
Edgar González,1,2021-2022
Daniel Wass,1,2021-2022
Manu Vallejo,1,2021-2022
Tonny Vilhena,1,2021-2022
Oussama Idrissi,1,2021-2022
Giovani Lo Celso,1,2021-2022
Sergi Gómez,1,2021-2022
Kang-in Lee,1,2021-2022
Geoffrey Kondogbia,1,2021-2022
Mickaël Malsa,1,2021-2022
Keidi Bare,1,2021-2022
Óscar de Marcos,1,2021-2022
Miguel de la Fuente,1,2021-2022
Sime Vrsaljko,1,2021-2022
Rodri Sánchez,1,2021-2022
Yuri Berchiche,1,2021-2022
Robin Le Normand,1,2021-2022
Edgar Méndez,1,2021-2022
Adrià Pedrosa,1,2021-2022
Nico Melamed,1,2021-2022
Étienne Capoue,1,2021-2022
Brian Oliván,1,2021-2022
Marcos André,1,2021-2022
Toni Kroos,1,2021-2022
Daniel Carvajal,1,2021-2022
Paco Alcácer,1,2021-2022
Gonzalo Montiel,1,2021-2022
Rubén Rochina,1,2021-2022
Luka Jović,1,2021-2022
Dani Alves,1,2021-2022
Portu,1,2021-2022
Iván Balliu,1,2021-2022
Darko Brasanac,1,2021-2022
Nemanja Maksimovic,1,2021-2022
Santi Comesaña,1,2021-2022
Carles Aleñá,1,2021-2022
Guido Rodríguez,1,2021-2022
Koke,1,2021-2022
Ousmane Dembélé,1,2021-2022
Rubén García,1,2021-2022
Pablo Maffeo,1,2021-2022
Casemiro,1,2021-2022
Luis Rioja,1,2021-2022
Éder Militão,1,2021-2022
Manu Sánchez,1,2021-2022
Mathías Olivera,1,2021-2022
Marcos Acuña,1,2021-2022
Bebé,1,2021-2022
Darío Poveda,1,2021-2022
Isco,1,2021-2022
Santiago Arzamendia,1,2021-2022
Nico Serrano,1,2021-2022
Ezequiel Ponce,1,2021-2022
Santiago Arias,1,2021-2022
Shkodran Mustafi,1,2021-2022
Iñigo Pérez,1,2021-2022
Abde Ezzalzouli,1,2021-2022
Giovanni González,1,2021-2022
Mario Hernández,1,2021-2022
Jon Guridi,1,2021-2022
Coke,1,2021-2022
Cristiano Piccini,1,2021-2022
Ferran Jutglà,1,2021-2022
Gareth Bale,1,2021-2022
Isi Palazón,2,2021-2022
Jesús Corona,2,2021-2022
Jon Moncayola,2,2021-2022
William Carvalho,2,2021-2022
Josan,2,2021-2022
David Alaba,2,2021-2022
Óliver Torres,2,2021-2022
Alfonso Espino,2,2021-2022
Alejandro Catena,2,2021-2022
Thiago Galhardo,2,2021-2022
Moi Gómez,2,2021-2022
Renan Lodi,2,2021-2022
Roberto Torres,2,2021-2022
Cristian Tello,2,2021-2022
Ferland Mendy,2,2021-2022
José Campaña,2,2021-2022
Iván Alejo,2,2021-2022
Martín Zubimendi,2,2021-2022
Germán Sánchez,2,2021-2022
Jules Koundé,2,2021-2022
Pathé Ciss,2,2021-2022
Sergio Escudero,2,2021-2022
Nico González,2,2021-2022
Thomas Delaney,2,2021-2022
Felipe,2,2021-2022
Mario Hermoso,2,2021-2022
Eduardo Camavinga,2,2021-2022
Dani Vivian,2,2021-2022
Salvi Sánchez,2,2021-2022
Francis Coquelin,2,2021-2022
Gabriel Paulista,2,2021-2022
Antonio Raíllo,2,2021-2022
Kike Barja,2,2021-2022
Fer Niño,2,2021-2022
Óscar Duarte,2,2021-2022
Manu Morlanes,2,2021-2022
Omar Alderete,2,2021-2022
Guido Carrillo,2,2021-2022
Aleix Vidal,2,2021-2022
Mamadou Loum,2,2021-2022
Mikel Vesga,2,2021-2022
Nolito,2,2021-2022
Sergio Busquets,2,2021-2022
Leandro Cabrera,2,2021-2022
Martin Braithwaite,2,2021-2022
Sergi Roberto,2,2021-2022
Darío Benedetto,2,2021-2022
Álex Collado,2,2021-2022
Johan Mojica,2,2021-2022
José Gayà,2,2021-2022
Asier Villalibre,2,2021-2022
Dani Parejo,2,2021-2022
Jordi Alba,2,2021-2022
Luka Modrić,2,2021-2022
Gavi,2,2021-2022
David Silva,2,2021-2022
Rubén Alcaraz,2,2021-2022
Julen Lobete,2,2021-2022
Philippe Coutinho,2,2021-2022
Munir El Haddadi,2,2021-2022
Kike Pérez,2,2021-2022
Nacho Fernández,3,2021-2022
Abdón Prats,3,2021-2022
Iñigo Martínez,3,2021-2022
Mikel Merino,3,2021-2022
Dani Rodríguez,3,2021-2022
Antoine Griezmann,3,2021-2022
Álex Berenguer,3,2021-2022
Oscar Trejo,3,2021-2022
Sergi Darder,3,2021-2022
Alberto Moreno,3,2021-2022
Álex Fernández,3,2021-2022
Randy Nteka,3,2021-2022
Víctor Laguardia,3,2021-2022
Rodrigo De Paul,3,2021-2022
Samuel Chukwueze,3,2021-2022
Enis Bardhi,3,2021-2022
Tete Morente,3,2021-2022
Frenkie de Jong,3,2021-2022
Luis Milla,3,2021-2022
Lucas Vázquez,3,2021-2022
Sandro Ramírez,3,2021-2022
Adnan Januzaj,3,2021-2022
Diego Carlos,3,2021-2022
Pedri,3,2021-2022
Roberto Soldado,3,2021-2022
Ronald Araujo,4,2021-2022
Alexander Sørloth,4,2021-2022
David García,4,2021-2022
Ansu Fati,4,2021-2022
Javi Puado,4,2021-2022
Aritz Elustondo,4,2021-2022
Rubén Sobrino,4,2021-2022
Darwin Machís,4,2021-2022
Dani Gómez,4,2021-2022
Ángel Rodríguez,4,2021-2022
Ferran Torres,4,2021-2022
Rodrygo,4,2021-2022
Franco Cervi,4,2021-2022
Thomas Lemar,4,2021-2022
Alfonso Pedraza,4,2021-2022
Brais Méndez,4,2021-2022
Denis Suárez,4,2021-2022
Ivan Rakitic,4,2021-2022
Jorge de Frutos,4,2021-2022
Iker Muniain,4,2021-2022
Gonzalo Escalante,5,2021-2022
Papu Gómez,5,2021-2022
Pau Torres,5,2021-2022
Erik Lamela,5,2021-2022
Youssef En-Nesyri,5,2021-2022
Maxi Gómez,5,2021-2022
Sergio Canales,5,2021-2022
Fidel,5,2021-2022
Boulaye Dia,5,2021-2022
Álex Moreno,5,2021-2022
Lucas Pérez,5,2021-2022
Salva Sevilla,5,2021-2022
Vedat Muriqi,5,2021-2022
Kike García,5,2021-2022
Oihan Sancet,6,2021-2022
Raúl García,6,2021-2022
Chimy Ávila,6,2021-2022
Alexander Isak,6,2021-2022
Antonio Puertas,6,2021-2022
Borja Mayoral,6,2021-2022
Radamel Falcao,6,2021-2022
Luuk de Jong,6,2021-2022
Lucas Ocampos,6,2021-2022
Yéremy Pino,6,2021-2022
Manu Trigueros,6,2021-2022
Matheus Cunha,6,2021-2022
Yannick Carrasco,6,2021-2022
Nabil Fekir,6,2021-2022
Gonzalo Melero,7,2021-2022
Álvaro Negredo,7,2021-2022
Lucas Boyé,7,2021-2022
Hugo Duro,7,2021-2022
Santi Mina,7,2021-2022
Roger Martí,7,2021-2022
Choco Lozano,7,2021-2022
Álvaro García,7,2021-2022
Ante Budimir,8,2021-2022
Sergi Guardiola,8,2021-2022
Pere Milla,8,2021-2022
João Félix,8,2021-2022
Luis Suárez,8,2021-2022
Iñaki Williams,8,2021-2022
Gerard Moreno,9,2021-2022
Mikel Oyarzabal,9,2021-2022
Willian José,9,2021-2022
Jorge Molina,10,2021-2022
Arnaut Danjuma,10,2021-2022
Marco Asensio,10,2021-2022
Rafa Mir,10,2021-2022
Borja Iglesias,10,2021-2022
Pierre-Emerick Aubameyang,11,2021-2022
Luis Suárez,11,2021-2022
Carlos Soler,11,2021-2022
Gonçalo Guedes,11,2021-2022
Memphis Depay,12,2021-2022
Ángel Correa,12,2021-2022
José Luis Morales,13,2021-2022
Joselu,14,2021-2022
Enes Ünal,16,2021-2022
Juanmi,16,2021-2022
Raúl de Tomás,17,2021-2022
Iago Aspas,17,2021-2022
Vinicius Junior,17,2021-2022
Karim Benzema,27,2021-2022
Jorge Pascual,1,2022-2023
Alexander Isak,1,2022-2023
Sergio Escudero,1,2022-2023
Eray Cömert,1,2022-2023
Arnau Puigmal,1,2022-2023
Gabriel Paulista,1,2022-2023
Chumi,1,2022-2023
Juanpe,1,2022-2023
Tanguy Nianzou,1,2022-2023
Loïc Badé,1,2022-2023
Juanmi Latasa,1,2022-2023
Ángel Rodríguez,1,2022-2023
Marcos André,1,2022-2023
Francis Coquelin,1,2022-2023
Gonzalo Verdú,1,2022-2023
Manu Morlanes,1,2022-2023
Iñigo Martínez,1,2022-2023
Shon Weissman,1,2022-2023
Lucas Torró,1,2022-2023
Javi Sánchez,1,2022-2023
Juan Iglesias,1,2022-2023
Pathé Ciss,1,2022-2023
Sergio Akieme,1,2022-2023
Dani Vivian,1,2022-2023
José Copete,1,2022-2023
Joaquín Fernández,1,2022-2023
César de la Hoz,1,2022-2023
Jawad El Yamiq,1,2022-2023
Asier Illarramendi,1,2022-2023
Marcos Alonso,1,2022-2023
Carlos Fernández,1,2022-2023
Toni Lato,1,2022-2023
Eric García,1,2022-2023
Juan Foyth,1,2022-2023
Omar Alderete,1,2022-2023
Ramón Terrats,1,2022-2023
Youssouf Sabaly,1,2022-2023
Andreas Christensen,1,2022-2023
Bernardo Espinosa,1,2022-2023
Papu Gómez,1,2022-2023
Jaime Mata,1,2022-2023
Brian Ocampo,1,2022-2023
Karim Rekik,1,2022-2023
Álex Collado,1,2022-2023
José Carlos Lazo,1,2022-2023
Kike Salas,1,2022-2023
Álvaro Rodríguez,1,2022-2023
Guido Rodríguez,1,2022-2023
Pau Torres,1,2022-2023
Antonio Rüdiger,1,2022-2023
Alejandro Catena,1,2022-2023
Vini Souza,1,2022-2023
Igor Zubeldia,1,2022-2023
Hugo Duro,1,2022-2023
Damián Suárez,1,2022-2023
Choco Lozano,1,2022-2023
Yeray Álvarez,1,2022-2023
Franck Kessié,1,2022-2023
Nacho Fernández,1,2022-2023
Andrés Guardado,1,2022-2023
Abdón Prats,1,2022-2023
Roger Martí,1,2022-2023
Nico González,1,2022-2023
Iñigo Eguaras,1,2022-2023
Darko Brasanac,1,2022-2023
Iván Sánchez,1,2022-2023
Toni Villa,1,2022-2023
David Alaba,1,2022-2023
Pape Gueye,1,2022-2023
Kike Pérez,1,2022-2023
Unai López,1,2022-2023
Álvaro Aguado,1,2022-2023
Óscar Plano,1,2022-2023
Nico Melamed,1,2022-2023
Samú Costa,1,2022-2023
Yuri Berchiche,1,2022-2023
Javi Hernández,1,2022-2023
Yan Couto,1,2022-2023
Marcos Llorente,1,2022-2023
Álvaro Negredo,1,2022-2023
Mohamed-Ali Cho,1,2022-2023
Álex Centelles,1,2022-2023
Gonzalo Plata,1,2022-2023
Brian Oliván,1,2022-2023
Gerard Gumbau,1,2022-2023
Alejandro Balde,1,2022-2023
Aleix García,1,2022-2023
Kike Barja,1,2022-2023
Óscar de Marcos,1,2022-2023
José Gayà,1,2022-2023
Hugo Guillamón,1,2022-2023
Jon Moncayola,1,2022-2023
Martín Zubimendi,1,2022-2023
Luiz Henrique,1,2022-2023
Ivan Rakitic,1,2022-2023
Jules Koundé,1,2022-2023
Thomas Lemar,1,2022-2023
Josan,1,2022-2023
Tino Kadewere,1,2022-2023
Chris Ramos,1,2022-2023
Matija Nastasić,1,2022-2023
Víctor Chust,1,2022-2023
Pol Lirola,1,2022-2023
Borja García,1,2022-2023
Javi Guerra,1,2022-2023
José Gragera,1,2022-2023
Ronaël Pierre-Gabriel,1,2022-2023
Miguel Rodríguez,1,2022-2023
Juan Cruz,1,2022-2023
Alberto Marí,1,2022-2023
Jesús Corona,1,2022-2023
Luca Koleosho,1,2022-2023
Anuar,1,2022-2023
Carlos Soler,1,2022-2023
Frenkie de Jong,2,2022-2023
Antonio Raíllo,2,2022-2023
Toni Kroos,2,2022-2023
Rodri Sánchez,2,2022-2023
Suso,2,2022-2023
Fran García,2,2022-2023
Raúl García,2,2022-2023
Pablo Maffeo,2,2022-2023
Jordi Alba,2,2022-2023
Giovani Lo Celso,2,2022-2023
Nabil Fekir,2,2022-2023
Carles Aleñá,2,2022-2023
Rubén García,2,2022-2023
Edu Expósito,2,2022-2023
Yangel Herrera,2,2022-2023
Bryan Gil,2,2022-2023
Óscar Rodríguez,2,2022-2023
Roque Mesa,2,2022-2023
Willian José,2,2022-2023
José María Giménez,2,2022-2023
Amath Ndiaye,2,2022-2023
Francisco Portillo,2,2022-2023
Reinier,2,2022-2023
Selim Amallah,2,2022-2023
Kike García,2,2022-2023
Oriol Romeu,2,2022-2023
David García,2,2022-2023
Radamel Falcao,2,2022-2023
Gonçalo Paciência,2,2022-2023
Gastón Álvarez,2,2022-2023
Arnaut Danjuma,2,2022-2023
Samu Saiz,2,2022-2023
Miguel Gutiérrez,2,2022-2023
André Almeida,2,2022-2023
Gavi,2,2022-2023
David Silva,2,2022-2023
Rodrigo De Paul,2,2022-2023
Lucas Robertone,2,2022-2023
Mikel Merino,2,2022-2023
Umar Sadiq,3,2022-2023
Lucas Pérez,3,2022-2023
César Montes,3,2022-2023
Álex Fernández,3,2022-2023
Étienne Capoue,3,2022-2023
Mouctar Diakhaby,3,2022-2023
Sergi Guardiola,3,2022-2023
Rubén Alcaraz,3,2022-2023
William Carvalho,3,2022-2023
Fidel,3,2022-2023
Mario Hermoso,3,2022-2023
Juan Miranda,3,2022-2023
Ayoze Pérez,3,2022-2023
Nemanja Gudelj,3,2022-2023
Largie Ramazani,3,2022-2023
Óliver Torres,3,2022-2023
Saúl Ñíguez,3,2022-2023
Munir El Haddadi,3,2022-2023
Ander Barrenetxea,3,2022-2023
David López,3,2022-2023
José Ángel Carmona,3,2022-2023
Haris Seferovic,3,2022-2023
Diego López,3,2022-2023
Joseph Aidoo,3,2022-2023
Srdjan Babic,3,2022-2023
Marcos Acuña,3,2022-2023
Monchu,3,2022-2023
Moi Gómez,3,2022-2023
Rubén Sobrino,3,2022-2023
Santi Comesaña,3,2022-2023
Mikel Vesga,3,2022-2023
Iván Martín,3,2022-2023
Arnau Martínez,3,2022-2023
Oscar Trejo,3,2022-2023
Dani Parejo,3,2022-2023
Carles Pérez,3,2022-2023
Viktor Tsygankov,3,2022-2023
Aimar Oroz,3,2022-2023
Dani Rodríguez,3,2022-2023
Gonzalo Melero,4,2022-2023
Adrián Embarba,4,2022-2023
Juanmi,4,2022-2023
Samu Castillejo,4,2022-2023
Florian Lejeune,4,2022-2023
Tete Morente,4,2022-2023
Ezequiel Ponce,4,2022-2023
Gonzalo Escalante,4,2022-2023
Mikel Oyarzabal,4,2022-2023
Sergi Roberto,4,2022-2023
Lucas Vázquez,4,2022-2023
Abde Ezzalzouli,4,2022-2023
Nahuel Molina,4,2022-2023
Ferran Torres,4,2022-2023
Álex Berenguer,4,2022-2023
João Félix,4,2022-2023
Lucas Ocampos,4,2022-2023
Raúl de Tomás,4,2022-2023
Théo Bongonda,4,2022-2023
Sergio Canales,4,2022-2023
Luka Modrić,4,2022-2023
Jørgen Strand Larsen,4,2022-2023
Rodrigo Riquelme,4,2022-2023
Luis Suárez,4,2022-2023
Yéremy Pino,4,2022-2023
Memphis Depay,5,2022-2023
Éder Militão,5,2022-2023
Edinson Cavani,5,2022-2023
Léo Baptistão,5,2022-2023
Álvaro García,5,2022-2023
Ousmane Dembélé,5,2022-2023
Lázaro,6,2022-2023
Rafa Mir,6,2022-2023
Erik Lamela,6,2022-2023
Nico Williams,6,2022-2023
Álex Baena,6,2022-2023
Samuel Lino,6,2022-2023
Pere Milla,6,2022-2023
Kang-in Lee,6,2022-2023
Sergio Camello,6,2022-2023
Samuel Chukwueze,6,2022-2023
Sergi Darder,6,2022-2023
Gorka Guruzeta,6,2022-2023
Sergio León,6,2022-2023
Justin Kluivert,6,2022-2023
Pedri,6,2022-2023
Gerard Moreno,7,2022-2023
Javi Puado,7,2022-2023
El Bilal Touré,7,2022-2023
José Luis Morales,7,2022-2023
Lucas Boyé,7,2022-2023
Yannick Carrasco,7,2022-2023
Federico Valverde,7,2022-2023
Ansu Fati,7,2022-2023
Raphinha,7,2022-2023
Youssef En-Nesyri,8,2022-2023
Ante Budimir,8,2022-2023
Chimy Ávila,8,2022-2023
Borja Mayoral,8,2022-2023
Cyle Larin,8,2022-2023
Brais Méndez,8,2022-2023
Cristhian Stuani,9,2022-2023
Ángel Correa,9,2022-2023
Isi Palazón,9,2022-2023
Marco Asensio,9,2022-2023
Rodrygo,9,2022-2023
Takefusa Kubo,9,2022-2023
Iñaki Williams,10,2022-2023
Martin Braithwaite,10,2022-2023
Oihan Sancet,10,2022-2023
Vinicius Junior,10,2022-2023
Gabri Veiga,11,2022-2023
Alexander Sørloth,12,2022-2023
Nicolas Jackson,12,2022-2023
Iago Aspas,12,2022-2023
Taty Castellanos,13,2022-2023
Álvaro Morata,13,2022-2023
Enes Ünal,14,2022-2023
Vedat Muriqi,15,2022-2023
Antoine Griezmann,15,2022-2023
Borja Iglesias,15,2022-2023
Joselu,16,2022-2023
Karim Benzema,19,2022-2023
Robert Lewandowski,23,2022-2023
Marc Guiu,1,2023-2024
Fede San Emeterio,1,2023-2024
Abde Ezzalzouli,1,2023-2024
Lucas Pires,1,2023-2024
Carl Starfelt,1,2023-2024
Hugo Guillamón,1,2023-2024
Julián Araujo,1,2023-2024
Nahuel Tenaglia,1,2023-2024
Kike Pérez,1,2023-2024
Abde Rebbach,1,2023-2024
Radamel Falcao,1,2023-2024
Raúl García,1,2023-2024
Abdul Mumin,1,2023-2024
Jesús Vázquez,1,2023-2024
Miguel Rubio,1,2023-2024
Dani García,1,2023-2024
Aïssa Mandi,1,2023-2024
Javi Llabrés,1,2023-2024
José Copete,1,2023-2024
Sory Kaba,1,2023-2024
Carles Pérez,1,2023-2024
Randy Nteka,1,2023-2024
Alberto Marí,1,2023-2024
Juan Foyth,1,2023-2024
Gavi,1,2023-2024
Hugo Álvarez,1,2023-2024
Andoni Gorosabel,1,2023-2024
Unai Núñez,1,2023-2024
Óscar Valentín,1,2023-2024
Aitor Paredes,1,2023-2024
Germán Pezzella,1,2023-2024
Pathé Ciss,1,2023-2024
Saúl Coco,1,2023-2024
Lucas Torró,1,2023-2024
Giovanni González,1,2023-2024
Samú Costa,1,2023-2024
Antonio Rüdiger,1,2023-2024
Étienne Capoue,1,2023-2024
José Ángel Carmona,1,2023-2024
Iñigo Ruiz de Galarreta,1,2023-2024
Carles Aleñá,1,2023-2024
Gonzalo Melero,1,2023-2024
Robert Navarro,1,2023-2024
Juan Miranda,1,2023-2024
Djibril Sow,1,2023-2024
Jon Pacheco,1,2023-2024
Nemanja Gudelj,1,2023-2024
Sergi Guardiola,1,2023-2024
Pep Chavarría,1,2023-2024
Benito Ramírez,1,2023-2024
Pablo Ibáñez,1,2023-2024
Javi Hernández,1,2023-2024
Arsen Zakharyan,1,2023-2024
Sergi Canós,1,2023-2024
Raúl de Tomás,1,2023-2024
Gonzalo Escalante,1,2023-2024
Ronald Araujo,1,2023-2024
José Gayà,1,2023-2024
William Carvalho,1,2023-2024
Pablo Maffeo,1,2023-2024
Marcos Acuña,1,2023-2024
Nabil Fekir,1,2023-2024
Johnny Cardoso,1,2023-2024
Giuliano Simeone,1,2023-2024
Ander Guevara,1,2023-2024
Ignasi Miquel,1,2023-2024
Óscar de Marcos,1,2023-2024
Fran García,1,2023-2024
Fran Pérez,1,2023-2024
Adrià Pedrosa,1,2023-2024
Suso,1,2023-2024
Gonzalo Villar,1,2023-2024
Jon Moncayola,1,2023-2024
Javi López,1,2023-2024
Alejandro Catena,1,2023-2024
Sandro Ramírez,1,2023-2024
Marc Pubill,1,2023-2024
Alfonso Pedraza,1,2023-2024
Jules Koundé,1,2023-2024
Sergi Cardona,1,2023-2024
Daley Blind,1,2023-2024
Unai López,1,2023-2024
Yan Couto,1,2023-2024
Toni Kroos,1,2023-2024
Jesús Areso,1,2023-2024
Saúl Ñíguez,1,2023-2024
Luca de la Torre,1,2023-2024
Nacho Vidal,1,2023-2024
Mouctar Diakhaby,1,2023-2024
Sergi Altimira,1,2023-2024
Yellu Santiago,1,2023-2024
Brian Ocampo,1,2023-2024
Bertrand Traoré,1,2023-2024
Stefan Mitrovic,1,2023-2024
